Item,Categoria,Descripcion,Marca,Talla,Precio,Nuevo,NumFotos,Estado,Comprador,Pagado,Entregado,Notas
I1,Bufandas-Gorros,Bufanda Azul Eléctrico,,,3000,,1,Disponible,,,,
I2,Bufandas-Gorros,Bufanda Fucsia,,,3000,,1,Disponible,,,,
I3,Bufandas-Gorros,Bufanda Animal Print,,,3000,,1,Disponible,,,,
I4,Bufandas-Gorros,Bufanda Cuadriculada,,,3000,,1,Disponible,,,,
I5,Bufandas-Gorros,Bufanda Gruesa Verde,,,3000,,2,Disponible,,,,
I6,Bufandas-Gorros,Bufanda Diseño Burdeo,,,3000,,1,Disponible,,,,
I7,Bufandas-Gorros,Bufanda Gris_Rosado,,,3000,,1,Disponible,,,,
I8,Bufandas-Gorros,Gorro Rosado Peludo,,,3000,,1,Disponible,,,,
I9,Bufandas-Gorros,Cintillo Café H&M,H&M,,3000,,1,Disponible,,,,
I10,Bufandas-Gorros,Gorro Café Grueso Zara,Zara,,3000,,1,Disponible,,,,
I11,Bufandas-Gorros,Gorro Rojo,,,3000,,1,Disponible,,,,
I12,Carteras-Mochilas-Bananos-Bolsos,Cartera de Mano Café Cuero,,,5000,,1,Disponible,,,,
I13,Carteras-Mochilas-Bananos-Bolsos,Cartera Cruzada Cuero Café,,,3000,,1,Disponible,,,,
I14,Carteras-Mochilas-Bananos-Bolsos,Cartera de Mano Negra Tipo Cuero,,,3000,,1,Disponible,,,,
I15,Carteras-Mochilas-Bananos-Bolsos,Cartera Diseño Colores,,,2000,,1,Disponible,,,,
I16,Carteras-Mochilas-Bananos-Bolsos,Banano de Viaje_Seguridad,,,2000,,1,Disponible,,,,
I17,Carteras-Mochilas-Bananos-Bolsos,Banano Harry Potter Death Eaters,,,5000,,1,Disponible,,,,
I18,Carteras-Mochilas-Bananos-Bolsos,Bolso Tote Deporte Bsoul,Bsoul,,3000,,1,Disponible,,,,
I19,Carteras-Mochilas-Bananos-Bolsos,Cartera Roja Tipo Cuero,,,3000,,1,Disponible,,,,
I20,Carteras-Mochilas-Bananos-Bolsos,Cartera Negra Zara,Zara,,5000,,1,Disponible,,,,
I21,Carteras-Mochilas-Bananos-Bolsos,Cartera Cruzada Negra_Cadenas,,,3000,,1,Disponible,,,,
I22,Carteras-Mochilas-Bananos-Bolsos,Mochila Bubba Maternal,,,15000,,3,Disponible,,,,
I23,Carteras-Mochilas-Bananos-Bolsos,Mochila Bubba Negra,,,5000,,1,Disponible,,,,
I24,Carteras-Mochilas-Bananos-Bolsos,Banano Running Simple Gris,,,3000,,1,Disponible,,,,
I25,Carteras-Mochilas-Bananos-Bolsos,Cartera Chica Cruzada Negra,,,3000,,1,Disponible,,,,
I26,Carteras-Mochilas-Bananos-Bolsos,Cartera Negra Cruzada Grande,,,5000,,1,Disponible,,,,
I27,Carteras-Mochilas-Bananos-Bolsos,Banano Running Cinturón Decathlon Talla 2,CAT,2,10000,,2,Disponible,,,,
I28,Carteras-Mochilas-Bananos-Bolsos,Morral Nike Negro,Nike,,5000,,1,Disponible,,,,
I29,Deporte,Peto Deportivo Naranjo Talla M,,M,2000,,2,Disponible,,,,
I30,Deporte,Peto Deportivo Azul Grisáceo Talla M Amov,Amov,M,2000,,1,Disponible,,,,
I31,Deporte,Peto Deportivo Azul H&M Talla M,H&M,M,2000,,1,Disponible,,,,
I32,Deporte,Bikers Moradas Diadora Talla XL,Diadora,XL,2000,,1,Disponible,,,,
I33,Deporte,Bikers Animal Print BSoul Talla XL,Bsoul,XL,2000,,1,Disponible,,,,
I34,Deporte,Short Running Rosado Talla S,,S,2000,,1,Disponible,,,,
I35,Deporte,Calzas Azules Lounge Talla M,,M,2000,,1,Disponible,,,,
I36,Deporte,Bikers Rosadas Diadora Talla XL,Diadora,XL,2000,,1,Disponible,,,,
I37,Deporte,Bikers Café Bsoul Talla XS,Bsoul,XS,5000,,1,Disponible,,,,
I38,Deporte,Peto Deportivo Lila Adidas Talla M,Adidas,M,5000,,2,Disponible,,,,
I39,Deporte,Peto Deportivo Morado Tie Dye Adidas Talla M,Adidas,M,5000,,1,Disponible,,,,
I40,Deporte,Shorts Negros Running Adidas Talla S,Adidas,S,5000,,1,Disponible,,,,
I41,Deporte,Peto Deportivo Negro 1 Hombro Amov Talla S,Amov,S,5000,,2,Disponible,,,,
I42,Deporte,Shorts Rojos Running Adidas Talla S,Adidas,S,5000,,1,Disponible,,,,
I43,Deporte,Shorts Negros_Pretina Running Adidas Talla S,Adidas,S,5000,,1,Disponible,,,,
I44,Deporte,Peto Deportivo Negro Adidas Talla M,Adidas,M,5000,,2,Disponible,,,,
I45,Deporte,Peto Deportivo Cruzado Negro Talla M,,M,5000,,2,Disponible,,,,
I46,Deporte,Shorts Deportivos Negros H&M Talla S,H&M,S,5000,,1,Disponible,,,,
I47,Deporte,Shorts Running Adidas Lila Tie Dye Talla S,Adidas,S,5000,,1,Disponible,,,,
I48,Deporte,Shorts Running Negros Adidas Talla XS,Adidas,XS,5000,,1,Disponible,,,,
I49,Interior-Pijamas-Bikinis,Pijama Perritos Salchicha Talla M,,M,2000,,1,Disponible,,,,
I50,Interior-Pijamas-Bikinis,Pijama Mickey_Minnie Talla S,,S,2000,,1,Disponible,,,,
I51,Interior-Pijamas-Bikinis,Pijama Stitch Talla 16,,16,2000,,1,Disponible,,,,
I52,Interior-Pijamas-Bikinis,Short Pijama Lineas Rosado Talla S,,S,2000,,1,Disponible,,,,
I53,Interior-Pijamas-Bikinis,Conjunto Lencero Rojo Talla M,,M,2000,Si,1,Disponible,,,,
I54,Interior-Pijamas-Bikinis,Sosten Bikini Azul Talla XL,,XL,2000,,1,Disponible,,,,
I55,Interior-Pijamas-Bikinis,Bikini Rosado Talla M,,M,2000,,1,Disponible,,,,
